Year,month,ANIMAL_ID,V1
2010,6,mr2009a31,27586.0566044435
2010,5,mr2009a31,20012.6836042467
2010,7,mr2009a31,39171.6604947962
2011,6,mr2009a02,13526.189755551
2011,5,mr2009a02,14782.1359885388
2011,7,mr2009a02,29638.6678193281
2011,5,mr2009a03,16895.522993759
2011,6,mr2009a03,16108.9813337589
2011,7,mr2009a03,28119.5420940705
2011,6,mr2009a06,15507.4014311177
2011,7,mr2009a06,31867.5665886903
2011,5,mr2009a06,14118.4607191103
2011,5,mr2009a07,15367.6190925351
2011,6,mr2009a07,12869.1396666495
2011,7,mr2009a07,39580.4380466477
2011,6,mr2009a08,21180.5655299887
2011,5,mr2009a08,15320.970845377
2011,7,mr2009a08,30190.6189629333
2011,6,mr2009a09,13383.0772976889
2011,5,mr2009a09,16530.2977252385
2011,7,mr2009a09,29544.3210457709
2011,6,mr2009a10,13460.8425385442
2011,7,mr2009a10,25698.4307522017
2011,5,mr2009a10,14843.3132497679
2011,7,mr2009a11,32475.1938235526
2011,5,mr2009a11,15625.1376345695
2011,6,mr2009a11,13303.2184578437
2011,5,mr2009a14,36751.4675394143
2011,6,mr2009a14,36835.7315718747
2011,5,mr2009a16,16851.1262584743
2011,6,mr2009a16,14448.9105176787
2011,7,mr2009a16,29276.4338318727
2011,6,mr2009a18,16080.9387890008
2011,7,mr2009a18,32656.5782208592
2011,5,mr2009a18,14409.6733354094
2011,5,mr2009a21,15970.3130050481
2011,7,mr2009a21,30477.8067280804
2011,6,mr2009a21,13686.17894014
2011,5,mr2009a24,18922.1434564729
2011,6,mr2009a24,19201.4357369849
2011,7,mr2009a24,34105.920434699
2011,7,mr2009a25,30054.3361986958
2011,6,mr2009a25,13714.0393137921
2011,5,mr2009a25,14488.7945798825
2011,5,mr2009a27,15840.4361370003
2011,5,mr2009a28,61124.3142258705
2011,6,mr2009a28,60797.2750980801
2011,7,mr2009a28,63517.6534733429
2011,6,mr2009a30,14254.5922870704
2011,7,mr2009a30,30056.856624597
2011,5,mr2009a30,17140.4223188087
2011,7,mr2009a31,30325.9483498933
2011,6,mr2009a31,25049.5988667931
2011,5,mr2009a31,25401.0792298687
2011,5,mr2010a01,14949.579422972
2011,6,mr2010a01,13452.5223255044
2011,7,mr2010a01,29283.8108609955
2011,5,mr2010a03,19783.3006389659
2011,6,mr2010a03,18950.9534833484
2011,6,mr2011a01,20400.5337020293
2011,7,mr2011a01,50504.1592923931
2011,5,mr2011a01,29536.8062238655
2011,5,mr2011a02,15611.0497333916
2011,7,mr2011a02,35887.3351075032
2011,6,mr2011a02,14262.8851794345
2011,5,mr2011a03,23637.4764614634
2011,6,mr2011a03,18323.6300099382
2011,7,mr2011a03,26086.4711835745
2011,7,mr2011a04,46474.6376249073
2011,6,mr2011a04,40570.5987575144
2011,5,mr2011a04,36829.0764578916
2011,5,mr2011a05,15771.2980695019
2011,6,mr2011a05,15284.6938708738
2011,7,mr2011a05,27957.5371248069
2011,6,mr2011a06,14806.922574351
2011,5,mr2011a06,14042.2876871034
2011,7,mr2011a06,26386.5186706123
2012,5,mr2009a02,9464.06411118737
