ID,Year ,Month,Periphery
mr2011a04,2011,7,2
mr2011a05,2011,7,0
mr2011a06,2011,7,0
mr2012a01,2011,7,
mr2012a02,2011,7,
mr2012a03,2011,7,
mr2012a04,2011,7,
mr2012a05,2011,7,
mr2012a06,2011,7,
mr2013a15,2011,7,
mr2009a01,2012,5,
mr2009a02,2012,5,0
mr2009a03,2012,5,1
mr2009a04,2012,5,
mr2009a06,2012,5,0
mr2009a07,2012,5,2
mr2009a08,2012,5,0
mr2009a09,2012,5,1
mr2009a11,2012,5,0
mr2009a13,2012,5,
mr2009a14,2012,5,
mr2009a15,2012,5,
mr2009a16,2012,5,
mr2009a17,2012,5,
mr2009a18,2012,5,0
mr2009a21,2012,5,0
mr2009a23,2012,5,
mr2009a24,2012,5,
mr2009a25,2012,5,1
mr2009a26,2012,5,0
mr2009a27,2012,5,
mr2009a28,2012,5,2
mr2009a29,2012,5,
mr2009a30,2012,5,0
mr2009a31,2012,5,1
mr2009a10,2012,5,1
mr2010a01,2012,5,1
mr2010a03,2012,5,
mr2011a01,2012,5,1
mr2011a02,2012,5,2
mr2011a03,2012,5,
mr2011a04,2012,5,2
mr2011a05,2012,5,1
mr2011a06,2012,5,
mr2012a01,2012,5,
mr2012a02,2012,5,
mr2012a03,2012,5,
mr2012a04,2012,5,
mr2012a05,2012,5,
mr2012a06,2012,5,
mr2013a15,2012,5,
mr2009a01,2012,6,
mr2009a02,2012,6,0
mr2009a03,2012,6,1
mr2009a04,2012,6,
mr2009a06,2012,6,0
mr2009a07,2012,6,2
mr2009a08,2012,6,1
mr2009a09,2012,6,0
mr2009a11,2012,6,0
mr2009a13,2012,6,
mr2009a14,2012,6,
mr2009a15,2012,6,
mr2009a16,2012,6,
mr2009a17,2012,6,
mr2009a18,2012,6,0
mr2009a21,2012,6,0
mr2009a23,2012,6,
mr2009a24,2012,6,
mr2009a25,2012,6,0
mr2009a26,2012,6,1
mr2009a27,2012,6,
mr2009a28,2012,6,2
mr2009a29,2012,6,
mr2009a30,2012,6,0
mr2009a31,2012,6,1
mr2009a10,2012,6,0
mr2010a01,2012,6,0
mr2010a03,2012,6,
mr2011a01,2012,6,1
mr2011a02,2012,6,2
mr2011a03,2012,6,
mr2011a04,2012,6,2
mr2011a05,2012,6,0
mr2011a06,2012,6,
mr2012a01,2012,6,
mr2012a02,2012,6,
mr2012a03,2012,6,
mr2012a04,2012,6,
mr2012a05,2012,6,
mr2012a06,2012,6,
mr2013a15,2012,6,
mr2009a01,2012,7,
mr2009a02,2012,7,1
mr2009a03,2012,7,1
mr2009a04,2012,7,
mr2009a06,2012,7,0
mr2009a07,2012,7,
mr2009a08,2012,7,1
mr2009a09,2012,7,0
mr2009a11,2012,7,
mr2009a13,2012,7,
mr2009a14,2012,7,
mr2009a15,2012,7,
mr2009a16,2012,7,
mr2009a17,2012,7,
mr2009a18,2012,7,0
mr2009a21,2012,7,0
mr2009a23,2012,7,
mr2009a24,2012,7,
mr2009a25,2012,7,1
mr2009a26,2012,7,0
mr2009a27,2012,7,
mr2009a28,2012,7,2
mr2009a29,2012,7,
mr2009a30,2012,7,0
mr2009a31,2012,7,0
mr2009a10,2012,7,0
mr2010a01,2012,7,1
mr2010a03,2012,7,
mr2011a01,2012,7,1
mr2011a02,2012,7,2
mr2011a03,2012,7,
mr2011a04,2012,7,0
mr2011a05,2012,7,1
mr2011a06,2012,7,
mr2012a01,2012,7,
mr2012a02,2012,7,
mr2012a03,2012,7,
mr2012a04,2012,7,
mr2012a05,2012,7,
mr2012a06,2012,7,
mr2013a15,2012,7,
mr2009a01,2013,5,
mr2009a02,2013,5,
mr2009a03,2013,5,0
mr2009a04,2013,5,
mr2009a06,2013,5,0
mr2009a07,2013,5,
mr2009a08,2013,5,
mr2009a09,2013,5,1
mr2009a11,2013,5,
mr2009a13,2013,5,
mr2009a14,2013,5,
mr2009a15,2013,5,
mr2009a16,2013,5,
mr2009a17,2013,5,
mr2009a18,2013,5,
mr2009a21,2013,5,
mr2009a23,2013,5,
mr2009a24,2013,5,
mr2009a25,2013,5,0
mr2009a26,2013,5,
mr2009a27,2013,5,
mr2009a28,2013,5,
mr2009a29,2013,5,
mr2009a30,2013,5,
mr2009a31,2013,5,2
mr2009a10,2013,5,1
mr2010a01,2013,5,
mr2010a03,2013,5,
mr2011a01,2013,5,2
mr2011a02,2013,5,
mr2011a03,2013,5,
mr2011a04,2013,5,1
mr2011a05,2013,5,
mr2011a06,2013,5,
mr2012a01,2013,5,2
mr2012a02,2013,5,2
mr2012a03,2013,5,1
mr2012a04,2013,5,1
mr2012a05,2013,5,1
mr2012a06,2013,5,1
mr2013a15,2013,5,
mr2009a01,2013,6,
mr2009a02,2013,6,
mr2009a03,2013,6,0
mr2009a04,2013,6,
mr2009a06,2013,6,0
mr2009a07,2013,6,
mr2009a08,2013,6,
mr2009a09,2013,6,1
mr2009a11,2013,6,
mr2009a13,2013,6,
mr2009a14,2013,6,
mr2009a15,2013,6,
mr2009a16,2013,6,
mr2009a17,2013,6,
mr2009a18,2013,6,
mr2009a21,2013,6,
mr2009a23,2013,6,
mr2009a24,2013,6,
mr2009a25,2013,6,0
mr2009a26,2013,6,
mr2009a27,2013,6,
mr2009a28,2013,6,
mr2009a29,2013,6,
mr2009a30,2013,6,
mr2009a31,2013,6,2
mr2009a10,2013,6,1
mr2010a01,2013,6,
mr2010a03,2013,6,
mr2011a01,2013,6,2
mr2011a02,2013,6,
mr2011a03,2013,6,
mr2011a04,2013,6,1
mr2011a05,2013,6,
mr2011a06,2013,6,
mr2012a01,2013,6,2
mr2012a02,2013,6,2
mr2012a03,2013,6,0
mr2012a04,2013,6,0
mr2012a05,2013,6,1
mr2012a06,2013,6,1
mr2013a15,2013,6,
mr2009a01,2013,7,
mr2009a02,2013,7,
mr2009a03,2013,7,1
mr2009a04,2013,7,
mr2009a06,2013,7,1
mr2009a07,2013,7,
mr2009a08,2013,7,
mr2009a09,2013,7,1
mr2009a11,2013,7,
mr2009a13,2013,7,
mr2009a14,2013,7,
mr2009a15,2013,7,
mr2009a16,2013,7,
mr2009a17,2013,7,
mr2009a18,2013,7,
mr2009a21,2013,7,
mr2009a23,2013,7,
mr2009a24,2013,7,
mr2009a25,2013,7,1
mr2009a26,2013,7,
mr2009a27,2013,7,
mr2009a28,2013,7,
mr2009a29,2013,7,
mr2009a30,2013,7,
mr2009a31,2013,7,2
mr2009a10,2013,7,1
mr2010a01,2013,7,
mr2010a03,2013,7,
mr2011a01,2013,7,2
mr2011a02,2013,7,
mr2011a03,2013,7,
mr2011a04,2013,7,1
mr2011a05,2013,7,
mr2011a06,2013,7,
mr2012a01,2013,7,2
mr2012a02,2013,7,2
mr2012a03,2013,7,1
mr2012a04,2013,7,1
mr2012a05,2013,7,1
mr2012a06,2013,7,1
mr2013a15,2013,7,
mr2012a06,2013,7,1
mr2013a15,2013,7,
